,name,Website,Type,Size,address3,city,state,zip,Public/Private,For-Profit/NFP,Primarily_Associates?
0,A T Still University of Health Sciences,WWW.ATSU.EDU,"4-year, Private not-for-profit",3480.0,800 W Jefferson,Kirksville,Missouri,63501,Private,NFP,No
1,Abilene Christian University,www.acu.edu,"4-year, Private not-for-profit",4669.0,1600 Campus Court,Abilene,Texas,79699,Private,NFP,No
2,Abraham Baldwin Agricultural College,www.abac.edu,"4-year, primarily associate's, Public",3600.0,2802 Moore Hwy,Tifton,Georgia,31793-2601,Public,NFP,Yes
3,Academy College,www.academycollege.edu,"4-year, primarily associate's, Private for-profit",165.0,"1101 E. 78th Street, Suite 100",Minneapolis,Minnesota,55420-1554,Private,For-Profit,Yes
4,Academy for Five Element Acupuncture,www.acupuncturist.edu,"4-year, Private not-for-profit",51.0,305 SE 2nd Ave,Gainesville,Florida,32601,Private,NFP,No
5,Academy of Art University,www.academyart.edu,"4-year, Private for-profit",13181.0,79 New Montgomery,San Francisco,California,94105,Private,For-Profit,No
6,Academy of Chinese Culture and Health Sciences,www.acchs.edu,"4-year, Private not-for-profit",92.0,1601 Clay St,Oakland,California,94612,Private,NFP,No
7,Academy of Oriental Medicine,www.aoma.edu,"4-year, Private for-profit",207.0,2700 W Anderson Ln Ste 204,Austin,Texas,78757,Private,For-Profit,No
8,Academy of Vocal Arts,www.avaopera.org,"4-year, Private not-for-profit",27.0,1920 Spruce St,Philadelphia,Pennsylvania,19103-6685,Private,NFP,No
9,Acupuncture and Integrative Medicine College-Berkeley,www.aimc.edu,"4-year, Private not-for-profit",181.0,2550 Shattuck Ave,Berkeley,California,94704,Private,NFP,No
10,Acupuncture and Massage College,WWW.AMCOLLEGE.edu,"4-year, primarily associate's, Private for-profit",131.0,10506 N Kendall Drive,Miami,Florida,33176,Private,For-Profit,Yes
11,Adams State College,www.adams.edu,"4-year, Public",2920.0,208 Edgemont Blvd,Alamosa,Colorado,81102,Public,NFP,No
12,Adelphi University,WWW.ADELPHI.EDU,"4-year, Private not-for-profit",8177.0,South Ave,Garden City,New York,11530-0701,Private,NFP,No
13,Adler Graduate School,www.alfredadler.edu,"4-year, Private not-for-profit",274.0,1550 East 78th Street,Richfield,Minnesota,55423,Private,NFP,No
14,Adler School of Professional Psychology,www.adler.edu,"4-year, Private not-for-profit",639.0,"65 East Wacker Place, Suite 2100",Chicago,Illinois,60601,Private,NFP,No
15,Adrian College,www.adrian.edu,"4-year, Private not-for-profit",1469.0,110 S Madison St,Adrian,Michigan,49221-2575,Private,NFP,No
16,Agnes Scott College,www.agnesscott.edu,"4-year, Private not-for-profit",832.0,141 E. College Ave,Decatur,Georgia,30030-3797,Private,NFP,No
17,AI Miami International University of Art and Design,www.aimiu.aii.edu,"4-year, Private for-profit",3429.0,1501 Biscayne Boulevard,Miami,Florida,33132-1418,Private,For-Profit,No
18,AIB College of Business,www.aib.edu,"4-year, primarily associate's, Private not-for-profit",985.0,2500 Fleur Drive,Des Moines,Iowa,50321-1799,Private,NFP,Yes
19,Air Force Institute of Technology-Graduate School of Engineering & Management,www.afit.edu,"4-year, Public",773.0,2950 Hobson Way-Wright Patterson AFB,Dayton,Ohio,45433-7765,Public,NFP,No
20,Alabama A & M University,www.aamu.edu/,"4-year, Public",5124.0,4900 Meridian St,Normal,Alabama,35762,Public,NFP,No
21,Alabama State University,www.alasu.edu,"4-year, Public",5695.0,915 S Jackson Street,Montgomery,Alabama,36101-0271,Public,NFP,No
22,Alaska Pacific University,www.alaskapacific.edu,"4-year, Private not-for-profit",803.0,4101 University Dr,Anchorage,Alaska,99508,Private,NFP,No
23,Albany College of Pharmacy and Health Sciences,www.acp.edu,"4-year, Private not-for-profit",1525.0,106 New Scotland Avenue,Albany,New York,12208-3492,Private,NFP,No
24,Albany Law School,www.albanylaw.edu,"4-year, Private not-for-profit",784.0,80 New Scotland Avenue,Albany,New York,12208,Private,NFP,No
25,Albany Medical College,www.amc.edu,"4-year, Private not-for-profit",839.0,47 New Scotland Ave,Albany,New York,12208-0000,Private,NFP,No
26,Albany State University,www.asurams.edu/,"4-year, Public",4176.0,504 College Dr.,Albany,Georgia,31705,Public,NFP,No
27,Albertus Magnus College,www.albertus.edu,"4-year, Private not-for-profit",2129.0,700 Prospect St,New Haven,Connecticut,06511-1189,Private,NFP,No
28,Albion College,www.albion.edu,"4-year, Private not-for-profit",1860.0,611 E Porter St,Albion,Michigan,49224,Private,NFP,No
29,Albright College,www.albright.edu,"4-year, Private not-for-profit",2305.0,1621 N. 13th St.,Reading,Pennsylvania,19612-5234,Private,NFP,No
30,Alcorn State University,www.alcorn.edu,"4-year, Public",3252.0,1000 ASU Dr Ste 359,Alcorn State,Mississippi,39096-7500,Public,NFP,No
31,Alderson Broaddus College,www.ab.edu/,"4-year, Private not-for-profit",738.0,101 College Hill Drive,Philippi,West Virginia,26416-2035,Private,NFP,No
32,Alfred University,www.alfred.edu,"4-year, Private not-for-profit",2427.0,One Saxon Drive,Alfred,New York,14802-1205,Private,NFP,No
33,Alice Lloyd College,www.alc.edu,"4-year, Private not-for-profit",609.0,100 Purpose Rd,Pippa Passes,Kentucky,41844,Private,NFP,No
34,Allegheny College,www.allegheny.edu,"4-year, Private not-for-profit",2125.0,520 N Main St,Meadville,Pennsylvania,16335-3902,Private,NFP,No
35,Allegheny Wesleyan College,awc.edu,"4-year, Private not-for-profit",55.0,2161 Woodsdale Rd,Salem,Ohio,44460-9598,Private,NFP,No
36,Allen College,www.allencollege.edu,"4-year, Private not-for-profit",417.0,1990 Heath St,Waterloo,Iowa,50703-1999,Private,NFP,No
37,Allen University,www.allenuniversity.edu,"4-year, Private not-for-profit",725.0,1530 Harden Street,Columbia,South Carolina,29204,Private,NFP,No
38,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,"One Beach Street, Suite 100",San Francisco,California,94133-1221,Private,NFP,No
39,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,2500 Michelson Dr-Ste 250,Irvine,California,92612-1221,Private,NFP,No
40,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,"2595 Capital Oaks Drive, Suite 200",Sacramento,California,95833,Private,NFP,No
41,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",4149.0,10455 Pomerado Road,San Diego,California,92131-1799,Private,NFP,No
42,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,5130 E Clinton Way,Fresno,California,93727-1360,Private,NFP,No
43,Alliant International University,www.alliant.edu,"4-year, Private not-for-profit",,"1000 S Fremont Ave, Unit 5",Alhambra,California,91803-1360,Private,NFP,No
44,Alma College,www.alma.edu,"4-year, Private not-for-profit",1382.0,614 W Superior,Alma,Michigan,48801-1599,Private,NFP,No
45,Alvernia College,www.alvernia.edu,"4-year, Private not-for-profit",2809.0,400 Saint Bernardine St,Reading,Pennsylvania,19607-1799,Private,NFP,No
46,Alverno College,www.alverno.edu,"4-year, Private not-for-profit",2782.0,3400 S 43rd  St,Milwaukee,Wisconsin,53234-3922,Private,NFP,No
47,Amberton University,www.amberton.edu,"4-year, Private not-for-profit",1562.0,1700 Eastgate Dr,Garland,Texas,75041-5595,Private,NFP,No
